"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";
"U3";"OPA320";"OPA320AIDBVT";"SOT95P280X145-5N";"Operational Amplifier";"";"OPA320AIDBVT";"2057093";"64T3764";"SOT-23-5";"";"Texas Instruments";
"U4";"MAX6126";"MAX6126";"SOIC127P600X175-8N";"";"";"";"";"";"";"";"";
"U6";"ADS1100-A0";"ADS1100A0IDBVT";"SOT95P280X145-6N";"Self-Calibrating, 16-Bit ANALOG-TO-DIGITAL CONVERTER";"";"ADS1100A0IDBVT";"1135959";"20H0708";"SOT-23-6";"";"Texas Instruments";
"U7";"DG2034E";"DG2034E";"MSOP10";"";"";"";"";"";"";"";"";
"U8";"NL17SZ07";"NL17SZ07DFT2G";"SOT65P210X110-5N";"Single Non-Inverting Buffer with Open Drain Output";"";"NL17SZ07DFT2G";"1705431";"04R7799";"SOT-353-5";"";"ON Semiconductor";
"U9";"FGPMMOPA6H";"GPS_FGPMMOPA6H";"FGPMMOPA6H";"GPS Module - MTK MT3339 Chipset, -165dBm sensitivity, 22 channels, 10Hz, auto-select external antenna options";"";"";"";"";"";"";"";
"U10";"SN74LVC1G32";"SN74LVC1G32DCKT";"SOT65P210X110-5N";"SINGLE 2-INPUT POSITIVE-OR GATE";"";"SN74LVC1G32DCKT";"1236340";"22H0383";"SC70-5";"";"Texas Instruments";
"U12";"Arduino MEGA2650";"MEGA2650_UPSIDEDOWNMOUNT";"MEGA2650_UPSIDEDOWNMOUNT";"";"";"";"";"";"";"";"";
"U14";"M74VHC1GT125";"M74VHC1GT125DF1G";"SOT65P210X110-5N";"Noninverting Buffer / CMOS Logic Level Shifter";"";"M74VHC1GT125DF1G";"1567363";"83H7591";"SOT-23-5";"";"ON SEMICONDUCTOR";
"U15";"74HC4050";"M74HC4050RM13TR";"SOIC127P600X175-16N";"HEX BUFFER/CONVERTER";"";"M74HC4050RM13TR";"1261257";"89K0905";"SOIC-16";"";"STMICROELECTRONICS";
"U16";"USD-SOCKET";"USD-SOCKET";"MICROSD_1:1";"microSD Socket";"";"";"";"";"";"CONN-07820";"";
"U17";"ADXL345";"ADXL345";"LGA14";"3-Axis, ±2 g/±4 g/±8 g/±16 g Digital Accelerometer";"";"";"";"";"";"";"";
"U18";"LP5907";"TPS77033";"SOT23-DBV";"ULTRALOW-POWER 50-mA LOW-DROPOUT LINEAR REGULATORS";"TEXAS INSTRUMENTS";"TPS77033DBVT";"8461570";"77C1187";"";"";"";
"U19";"Inverter";"1P1G14MDBVREPG4";"SOT95P280X145-5N";"SINGLE SCHMITT-TRIGGER INVERTER";"";"1P1G14MDBVREPG4";"-";"unknown";"SOT-23-5";"";"Texas Instruments";
"U20";"DS3234";"DS3234";"DS3234";"SPI RTC module with battery backup and internal clock.";"";"";"";"";"";"";"";
"U21";"LT1129";"LT1129CQ-5";"Q5-DD";"VOLTAGE REGULATOR";"";"LT1129CQ-5#PBF";"1663373";"57M2058";"";"";"";
"U22";"LT1013";"LT1013IS8PBF";"SOIC127P600X175-8N";"Dual Precision Op Amp";"";"LT1013IS8#PBF";"1556424";"57M0833";"SOIC-8";"";"Linear Technology";
"U23";"LT1634";"LT1634BIS8-1.25";"S8";"Micropower Precision Shunt Voltage Reference";"";"";"";"";"";"";"";
"U24";"ADS1100A2";"ADS1100A2IDBVT";"SOT95P280X145-6N";"Self-Calibrating, 16-Bit ANALOG-TO-DIGITAL CONVERTER";"";"ADS1100A2IDBVT";"1206858";"20H0712";"SOT-23-6";"";"Texas Instruments";
"U25";"TS5A21366";"TS5A21366DCUR";"SOP50P310X90-8N";"0.75-Ù DUAL SPST ANALOG SWITCH WITH 1.8-V COMPATIBLE INPUT LOGIC";"";"TS5A21366DCUR";"1710838";"04R6571";"SOP-8";"";"Texas Instruments";
"U26";"TXB0106PWR";"TXB0106PWR";"SOP65P640X120-16N";"VOLTAGE-LEVEL TRANSLATOR";"";"TXB0106PWR";"1694679";"46P3786";"TSSOP-16";"";"Texas Instruments";
"VBATT";"TP-040";"TP-040";"TP-040";"TEST POINT";"";"";"";"unknown";"";"";"";
"VPAR";"TP-040";"TP-040";"TP-040";"TEST POINT";"";"";"";"unknown";"";"";"";
