Date(UTC)	Depth(m)	Temperature(C)	PAR	Angle	Dryness
2015-07-17 09:21:00.75	0.30	1.790	276	28.000	0
2015-07-17 09:21:03.00	0.30	1.790	277.23	28.000	0
2015-07-17 09:21:03.25	0.30	1.800	277.11	28.000	0
2015-07-17 09:21:03.50	0.30	1.800	277.11	28.000	0
2015-07-17 09:21:03.75	0.30	1.800	277.04	28.000	0
2015-07-17 09:21:05.00	0.30	1.790	277.36	28.000	0
2015-07-17 09:21:05.25	0.31	1.800	277.82	28.000	0
2015-07-17 09:21:05.50	0.32	1.800	278.04	28.000	0
2015-07-17 09:21:05.75	0.35	1.800	278.12	28.000	0
2015-07-17 09:21:06.00	0.31	1.800	278.27	28.000	0
2015-07-17 09:21:06.25	0.31	1.810	278.29	28.000	0
2015-07-17 09:21:06.50	0.29	1.800	278.21	28.000	0
2015-07-17 09:21:06.75	0.29	1.800	278.19	28.000	0
2015-07-17 09:21:07.00	0.32	1.800	278.19	28.000	0
2015-07-17 09:21:07.25	0.30	1.810	278.17	28.000	0
2015-07-17 09:21:07.50	0.29	1.810	278.23	28.000	0
2015-07-17 09:21:07.75	0.33	1.810	278.37	28.000	0
2015-07-17 09:21:08.00	0.34	1.800	278.51	28.000	0
2015-07-17 09:21:08.25	0.30	1.800	278.82	28.000	0
2015-07-17 09:21:08.50	0.30	1.810	279.06	28.000	0
2015-07-17 09:21:08.75	0.32	1.810	279.18	28.000	0
2015-07-17 09:21:09.00	0.30	1.800	279.22	28.000	0
2015-07-17 09:21:09.25	0.29	1.810	279.22	28.000	0
2015-07-17 09:21:09.50	0.31	1.810	279.24	28.000	0
2015-07-17 09:21:09.75	0.29	1.810	279.31	28.000	0
2015-07-17 09:21:10.00	0.29	1.800	279.36	28.000	0
2015-07-17 09:21:10.25	0.30	1.810	279.33	28.000	0
2015-07-17 09:21:10.50	0.30	1.810	279.43	28.000	0
2015-07-17 09:21:10.75	0.30	1.810	279.59	28.000	0
2015-07-17 09:21:11.00	0.30	1.810	279.86	28.000	0
2015-07-17 09:21:11.25	0.29	1.820	280	28.000	0
2015-07-17 09:21:11.50	0.29	1.820	280.13	28.000	0
2015-07-17 09:21:11.75	0.30	1.820	280.13	28.000	0
2015-07-17 09:21:13.00	0.29	1.820	280.41	28.000	0
2015-07-17 09:21:13.25	0.32	1.820	280.52	28.000	0
2015-07-17 09:21:13.50	0.31	1.820	280.67	28.000	0
2015-07-17 09:21:13.75	0.29	1.820	280.85	28.000	0
2015-07-17 09:21:14.00	0.28	1.820	280.95	28.000	0
2015-07-17 09:21:14.25	0.30	1.830	281.09	28.000	0
2015-07-17 09:21:14.50	0.31	1.830	281.15	28.000	0
2015-07-17 09:21:14.75	0.29	1.830	281.24	28.000	0
2015-07-17 09:21:15.00	0.31	1.820	281.19	28.000	0
2015-07-17 09:21:15.25	0.30	1.830	281.2	28.000	0
2015-07-17 09:21:15.50	0.32	1.830	281.27	28.000	0
2015-07-17 09:21:15.75	0.29	1.830	281.32	28.000	0
2015-07-17 09:21:16.00	0.31	1.820	281.5	28.000	0
2015-07-17 09:21:16.25	0.30	1.830	281.51	28.000	0
2015-07-17 09:21:16.50	0.31	1.830	281.66	28.000	0
2015-07-17 09:21:16.75	0.29	1.830	281.8	28.000	0
2015-07-17 09:21:18.00	0.32	1.830	282.06	28.000	0
2015-07-17 09:21:18.25	0.29	1.830	282	28.000	0
2015-07-17 09:21:18.50	0.32	1.830	282.02	28.000	0
2015-07-17 09:21:18.75	0.28	1.830	282.21	28.000	0
2015-07-17 09:21:20.00	0.30	1.830	282.63	28.000	0
2015-07-17 09:21:20.25	0.30	1.830	282.66	28.000	0
2015-07-17 09:21:20.50	0.30	1.840	282.68	28.000	0
2015-07-17 09:21:20.75	0.29	1.840	282.69	28.000	0
2015-07-17 09:21:21.00	0.29	1.830	282.65	28.000	0
2015-07-17 09:21:21.25	0.32	1.840	282.77	28.000	0
2015-07-17 09:21:21.50	0.31	1.840	282.75	28.000	0
2015-07-17 09:21:21.75	0.32	1.840	282.84	28.000	0
2015-07-17 09:21:22.00	0.33	1.830	282.96	28.000	0
2015-07-17 09:21:22.25	0.34	1.840	282.98	28.000	0
2015-07-17 09:21:22.50	0.30	1.840	283.08	28.000	0
2015-07-17 09:21:22.75	0.32	1.840	283.13	28.000	0
2015-07-17 09:21:23.00	0.29	1.840	283.15	28.000	0
2015-07-17 09:21:23.25	0.30	1.840	283.28	28.000	0
2015-07-17 09:21:23.50	0.33	1.840	283.3	28.000	0
2015-07-17 09:21:23.75	0.29	1.840	283.36	28.000	0
2015-07-17 09:21:24.00	0.31	1.830	283.47	28.000	0
2015-07-17 09:21:24.25	0.29	1.840	283.51	28.000	0
2015-07-17 09:21:24.50	0.30	1.840	283.65	28.000	0
2015-07-17 09:21:24.75	0.29	1.840	283.69	28.000	0
2015-07-17 09:21:25.00	0.32	1.840	283.66	28.000	0
2015-07-17 09:21:25.25	0.30	1.840	283.66	28.000	0
2015-07-17 09:21:25.50	0.31	1.840	283.55	28.000	0
2015-07-17 09:21:25.75	0.29	1.840	283.48	28.000	0
2015-07-17 09:21:28.00	0.32	1.840	283.94	28.000	0
2015-07-17 09:21:28.25	0.31	1.850	284.02	28.000	0
2015-07-17 09:21:28.50	0.31	1.840	283.98	28.000	0
2015-07-17 09:21:28.75	0.32	1.840	284.01	28.000	0
2015-07-17 09:21:29.00	0.30	1.830	283.97	28.000	0
2015-07-17 09:21:29.25	0.29	1.840	283.79	28.000	0
2015-07-17 09:21:29.50	0.29	1.840	283.7	28.000	0
2015-07-17 09:21:29.75	0.30	1.840	283.7	28.000	0
2015-07-17 09:21:30.00	0.32	1.840	283.53	28.000	0
2015-07-17 09:21:30.25	0.29	1.840	283.53	28.000	0
2015-07-17 09:21:30.50	0.31	1.840	283.42	28.000	0
2015-07-17 09:21:30.75	0.30	1.840	283.41	28.000	0
2015-07-17 09:21:31.00	0.29	1.840	283.45	28.000	0
2015-07-17 09:21:31.25	0.31	1.840	283.45	28.000	0
2015-07-17 09:21:31.50	0.29	1.840	283.39	28.000	0
2015-07-17 09:21:31.75	0.29	1.840	283.38	28.000	0
2015-07-17 09:21:32.00	0.32	1.840	283.53	28.000	0
2015-07-17 09:21:32.25	0.30	1.840	283.67	28.000	0
2015-07-17 09:21:32.50	0.31	1.840	283.94	28.000	0
2015-07-17 09:21:32.75	0.29	1.850	284.09	28.000	0
2015-07-17 09:21:33.00	0.32	1.840	284.16	28.000	0
2015-07-17 09:21:33.25	0.30	1.850	284.22	28.000	0
2015-07-17 09:21:33.50	0.31	1.840	284.24	28.000	0
2015-07-17 09:21:33.75	0.31	1.850	284.42	28.000	0
2015-07-17 09:21:35.00	0.29	1.840	284.09	28.000	0
2015-07-17 09:21:35.25	0.30	1.850	284	28.000	0
2015-07-17 09:21:35.50	0.32	1.850	284.09	28.000	0
2015-07-17 09:21:35.75	0.33	1.850	284.17	28.000	0
2015-07-17 09:21:37.00	0.31	1.840	284.34	28.000	0
2015-07-17 09:21:37.25	0.29	1.850	284.37	28.000	0
2015-07-17 09:21:37.50	0.34	1.850	284.26	28.000	0
2015-07-17 09:21:37.75	0.30	1.850	284.26	28.000	0
2015-07-17 09:21:38.00	0.29	1.840	284.28	28.000	0
2015-07-17 09:21:38.25	0.31	1.850	284.24	28.000	0
2015-07-17 09:21:38.50	0.31	1.850	284.32	28.000	0
2015-07-17 09:21:38.75	0.29	1.850	284.29	28.000	0
2015-07-17 09:21:39.00	0.30	1.850	284.36	28.000	0
2015-07-17 09:21:39.25	0.29	1.850	284.34	28.000	0
2015-07-17 09:21:39.50	0.33	1.850	284.48	28.000	0
2015-07-17 09:21:39.75	0.29	1.850	284.38	28.000	0
2015-07-17 09:21:41.00	0.33	1.850	284.42	28.000	0
2015-07-17 09:21:41.25	0.29	1.860	284.47	28.000	0
2015-07-17 09:21:41.50	0.30	1.860	284.41	28.000	0
2015-07-17 09:21:41.75	0.31	1.860	284.51	28.000	0
2015-07-17 09:21:48.00	0.33	1.860	285.13	28.000	0
2015-07-17 09:21:48.25	0.29	1.870	285.12	28.000	0
2015-07-17 09:21:48.50	0.29	1.870	285.29	28.000	0
2015-07-17 09:21:48.75	0.28	1.870	285.34	28.000	0
2015-07-17 09:21:49.00	0.30	1.860	285.45	28.000	0
2015-07-17 09:21:49.25	0.29	1.870	285.4	28.000	0
2015-07-17 09:21:49.50	0.32	1.870	285.47	28.000	0
2015-07-17 09:21:49.75	0.31	1.870	285.59	28.000	0
2015-07-17 09:21:52.00	0.31	1.860	285.95	28.000	0
2015-07-17 09:21:52.25	0.30	1.870	286.03	28.000	0
2015-07-17 09:21:52.50	0.29	1.870	286.12	28.000	0
2015-07-17 09:21:52.75	0.30	1.870	286.11	28.000	0
2015-07-17 09:21:53.00	0.31	1.870	286.22	28.000	0
2015-07-17 09:21:53.25	0.31	1.870	286.4	28.000	0
2015-07-17 09:21:53.50	0.32	1.880	286.51	28.000	0
2015-07-17 09:21:53.75	0.33	1.870	286.49	28.000	0
2015-07-17 09:21:54.00	0.29	1.870	286.55	28.000	0
2015-07-17 09:21:54.25	0.32	1.880	286.54	28.000	0
2015-07-17 09:21:54.50	0.32	1.880	286.61	28.000	0
2015-07-17 09:21:54.75	0.31	1.870	286.57	28.000	0
2015-07-17 09:21:56.00	0.32	1.870	286.98	29.000	0
2015-07-17 09:21:56.25	0.30	1.880	287.02	29.000	0
2015-07-17 09:21:56.50	0.27	1.880	287.14	29.000	0
2015-07-17 09:21:56.75	0.32	1.880	287.16	29.000	0
2015-07-17 09:21:58.00	0.30	1.870	287.54	29.000	0
2015-07-17 09:21:58.25	0.30	1.880	287.62	29.000	0
2015-07-17 09:21:58.50	0.32	1.880	287.7	29.000	0
2015-07-17 09:21:58.75	0.31	1.880	287.88	29.000	0
2015-07-17 09:21:59.00	0.29	1.870	287.89	29.000	0
2015-07-17 09:21:59.25	0.32	1.880	287.89	29.000	0
2015-07-17 09:21:59.50	0.30	1.880	288	29.000	0
2015-07-17 09:21:59.75	0.31	1.880	287.95	29.000	0
2015-07-17 09:22:01.00	0.29	1.880	288.39	29.000	0
2015-07-17 09:22:01.25	0.29	1.880	288.52	29.000	0
2015-07-17 09:22:01.50	0.31	1.880	288.7	29.000	0
2015-07-17 09:22:01.75	0.30	1.880	288.82	29.000	0
2015-07-17 09:22:02.00	0.33	1.880	289.02	29.000	0
2015-07-17 09:22:02.25	0.29	1.880	289.19	29.000	0
2015-07-17 09:22:02.50	0.29	1.880	289.24	29.000	0
2015-07-17 09:22:02.75	0.30	1.880	289.41	29.000	0
2015-07-17 09:22:03.00	0.29	1.870	289.39	28.000	0
2015-07-17 09:22:03.25	0.31	1.880	289.37	28.000	0
2015-07-17 09:22:03.50	0.29	1.880	289.43	28.000	0
2015-07-17 09:22:03.75	0.32	1.880	289.53	28.000	0
2015-07-17 09:22:04.00	0.29	1.870	289.41	28.000	0
2015-07-17 09:22:04.25	0.31	1.880	289.37	28.000	0
2015-07-17 09:22:04.50	0.31	1.880	289.39	28.000	0
2015-07-17 09:22:04.75	0.31	1.880	289.53	28.000	0
2015-07-17 09:22:05.00	0.32	1.870	289.61	28.000	0
2015-07-17 09:22:05.25	0.31	1.880	289.82	28.000	0
2015-07-17 09:22:05.50	0.31	1.880	289.98	28.000	0
2015-07-17 09:22:05.75	0.30	1.880	290.11	28.000	0
2015-07-17 09:22:06.00	0.31	1.870	290.25	28.000	0
2015-07-17 09:22:06.25	0.33	1.880	290.34	28.000	0
2015-07-17 09:22:06.50	0.30	1.880	290.32	28.000	0
2015-07-17 09:22:06.75	0.32	1.870	290.33	28.000	0
2015-07-17 09:22:07.00	0.31	1.870	290.33	28.000	0
2015-07-17 09:22:07.25	0.30	1.870	290.42	28.000	0
2015-07-17 09:22:07.50	0.31	1.870	290.34	28.000	0
2015-07-17 09:22:07.75	0.29	1.870	290.47	28.000	0
2015-07-17 09:22:09.00	0.29	1.870	291.21	28.000	0
2015-07-17 09:22:09.25	0.35	1.870	291.18	28.000	0
2015-07-17 09:22:09.50	0.31	1.870	291.16	28.000	0
2015-07-17 09:22:09.75	0.27	1.870	291.24	28.000	0
2015-07-17 09:22:10.00	0.31	1.870	291.3	28.000	0
2015-07-17 09:22:10.25	0.30	1.870	291.36	28.000	0
2015-07-17 09:22:10.50	0.29	1.870	291.54	28.000	0
2015-07-17 09:22:10.75	0.32	1.870	291.62	28.000	0
2015-07-17 09:22:12.00	0.30	1.870	292.21	28.000	0
2015-07-17 09:22:12.25	0.31	1.870	292.25	28.000	0
2015-07-17 09:22:12.50	0.29	1.870	292.17	28.000	0
2015-07-17 09:22:12.75	0.30	1.870	292.29	28.000	0
2015-07-17 09:22:13.00	0.30	1.870	292.39	28.000	0
2015-07-17 09:22:13.25	0.29	1.870	292.31	28.000	0
2015-07-17 09:22:13.50	0.32	1.870	292.33	28.000	0
2015-07-17 09:22:13.75	0.29	1.870	292.41	28.000	0
2015-07-17 09:22:14.00	0.31	1.870	292.5	28.000	0
2015-07-17 09:22:14.25	0.33	1.870	292.58	28.000	0
2015-07-17 09:22:14.50	0.33	1.870	292.71	28.000	0
2015-07-17 09:22:14.75	0.29	1.870	292.87	28.000	0
2015-07-17 09:22:15.00	0.29	1.870	292.91	28.000	0
2015-07-17 09:22:15.25	0.29	1.870	292.93	28.000	0
2015-07-17 09:22:15.50	0.31	1.870	293.02	28.000	0
2015-07-17 09:22:15.75	0.30	1.870	293.03	28.000	0
2015-07-17 09:22:16.00	0.30	1.870	293.08	28.000	0
2015-07-17 09:22:16.25	0.29	1.870	293.2	28.000	0
2015-07-17 09:22:16.50	0.29	1.870	293.14	28.000	0
2015-07-17 09:22:16.75	0.34	1.870	293.23	28.000	0
2015-07-17 09:22:17.00	0.31	1.860	293.22	28.000	0
2015-07-17 09:22:17.25	0.33	1.870	293.36	28.000	0
2015-07-17 09:22:17.50	0.32	1.870	293.43	28.000	0
2015-07-17 09:22:17.75	0.30	1.870	293.45	28.000	0
2015-07-17 09:22:19.00	0.32	1.860	293.96	28.000	0
2015-07-17 09:22:19.25	0.29	1.870	293.99	28.000	0
2015-07-17 09:22:19.50	0.29	1.870	294.14	28.000	0
2015-07-17 09:22:19.75	0.29	1.870	294.17	28.000	0
2015-07-17 09:22:21.00	0.32	1.860	294.3	28.000	0
2015-07-17 09:22:21.25	0.30	1.870	294.42	28.000	0
2015-07-17 09:22:21.50	0.32	1.870	294.52	28.000	0
2015-07-17 09:22:21.75	0.31	1.870	294.63	28.000	0
2015-07-17 09:22:22.00	0.29	1.860	294.77	28.000	0
2015-07-17 09:22:22.25	0.32	1.870	294.84	28.000	0
2015-07-17 09:22:22.50	0.29	1.870	294.93	28.000	0
2015-07-17 09:22:22.75	0.30	1.870	294.95	28.000	0
2015-07-17 09:22:23.00	0.32	1.870	295.09	28.000	0
2015-07-17 09:22:23.25	0.32	1.870	295.12	28.000	0
2015-07-17 09:22:23.50	0.31	1.870	295.14	28.000	0
2015-07-17 09:22:23.75	0.28	1.870	295.09	28.000	0
2015-07-17 09:22:24.00	0.29	1.860	295.22	28.000	0
2015-07-17 09:22:24.25	0.29	1.870	295.24	28.000	0
2015-07-17 09:22:24.50	0.31	1.870	295.38	28.000	0
2015-07-17 09:22:24.75	0.30	1.870	295.53	28.000	0
2015-07-17 09:22:26.00	0.30	1.870	296.02	28.000	0
2015-07-17 09:22:26.25	0.29	1.870	295.98	28.000	0
2015-07-17 09:22:26.50	0.31	1.870	296.07	28.000	0
2015-07-17 09:22:26.75	0.29	1.870	296.13	28.000	0
2015-07-17 09:22:27.00	0.30	1.870	296.15	28.000	0
2015-07-17 09:22:27.25	0.32	1.870	296.3	28.000	0
2015-07-17 09:22:27.50	0.30	1.870	296.43	28.000	0
2015-07-17 09:22:27.75	0.33	1.870	296.53	28.000	0
2015-07-17 09:22:28.00	0.32	1.870	296.56	28.000	0
2015-07-17 09:22:28.25	0.31	1.870	296.72	28.000	0
2015-07-17 09:22:28.50	0.30	1.870	296.79	28.000	0
2015-07-17 09:22:28.75	0.29	1.880	296.85	28.000	0
2015-07-17 09:22:29.00	0.32	1.870	296.97	28.000	0
2015-07-17 09:22:29.25	0.30	1.880	297.01	28.000	0
2015-07-17 09:22:29.50	0.30	1.880	296.99	28.000	0
2015-07-17 09:22:29.75	0.32	1.880	296.99	28.000	0
2015-07-17 09:22:30.00	0.32	1.870	297.12	28.000	0
2015-07-17 09:22:30.25	0.30	1.880	297.28	28.000	0
2015-07-17 09:22:30.50	0.31	1.880	297.45	28.000	0
2015-07-17 09:22:30.75	0.32	1.880	297.62	28.000	0
2015-07-17 09:22:33.00	0.12	-1.870	1.54	0.000	0
2015-07-17 09:22:34.00	0.31	1.870	298.8	28.000	0
2015-07-17 09:22:34.25	0.29	1.880	298.97	28.000	0
2015-07-17 09:22:34.50	0.29	1.870	299.19	28.000	0
2015-07-17 09:22:34.75	0.29	1.870	299.22	28.000	0
2015-07-17 09:22:36.00	0.31	1.870	299.62	28.000	0
2015-07-17 09:22:36.25	0.31	1.870	299.78	28.000	0
2015-07-17 09:22:36.50	0.30	1.870	299.92	28.000	0
2015-07-17 09:22:36.75	0.32	1.870	300.07	28.000	0
2015-07-17 09:22:37.00	0.30	1.870	300.15	28.000	0
2015-07-17 09:22:37.25	0.32	1.870	300.34	28.000	0
2015-07-17 09:22:37.50	0.34	1.870	300.36	28.000	0
2015-07-17 09:22:37.75	0.31	1.870	300.44	28.000	0
2015-07-17 09:22:38.00	0.31	1.860	300.48	28.000	0
2015-07-17 09:22:38.25	0.30	1.870	300.51	28.000	0
2015-07-17 09:22:38.50	0.31	1.870	300.61	28.000	0
2015-07-17 09:22:38.75	0.29	1.870	300.72	28.000	0
2015-07-17 09:22:39.00	0.31	1.860	300.76	28.000	0
2015-07-17 09:22:39.25	0.29	1.870	300.81	28.000	0
2015-07-17 09:22:39.50	0.32	1.870	300.94	28.000	0
2015-07-17 09:22:39.75	0.29	1.870	301.04	28.000	0
2015-07-17 09:22:40.00	0.30	1.860	301.08	28.000	0
2015-07-17 09:22:40.25	0.31	1.870	301.24	28.000	0
2015-07-17 09:22:40.50	0.30	1.870	301.52	28.000	0
2015-07-17 09:22:40.75	0.32	1.870	301.69	28.000	0
2015-07-17 09:22:42.00	0.33	1.860	302.27	28.000	0
2015-07-17 09:22:42.25	0.31	1.870	302.52	28.000	0
2015-07-17 09:22:42.50	0.31	1.860	302.7	28.000	0
2015-07-17 09:22:42.75	0.32	1.870	302.85	28.000	0
2015-07-17 09:22:43.00	0.33	1.860	303.07	28.000	0
2015-07-17 09:22:43.25	0.31	1.870	303.1	28.000	0
2015-07-17 09:22:43.50	0.30	1.870	303.19	28.000	0
2015-07-17 09:22:43.75	0.29	1.860	303.35	28.000	0
2015-07-17 09:22:44.00	0.31	1.860	303.4	28.000	0
2015-07-17 09:22:44.25	0.31	1.860	303.35	28.000	0
2015-07-17 09:22:44.50	0.34	1.860	303.46	28.000	0
2015-07-17 09:22:44.75	0.30	1.860	303.52	28.000	0
2015-07-17 09:22:45.00	0.33	1.850	303.66	28.000	0
2015-07-17 09:22:45.25	0.31	1.860	303.75	28.000	0
2015-07-17 09:22:45.50	0.29	1.860	303.94	28.000	0
2015-07-17 09:22:45.75	0.30	1.860	304.2	28.000	0
2015-07-17 09:22:48.00	0.29	1.850	305.31	29.000	0
2015-07-17 09:22:48.25	0.30	1.860	305.42	29.000	0
2015-07-17 09:22:48.50	0.31	1.860	305.48	29.000	0
2015-07-17 09:22:48.75	0.30	1.860	305.6	29.000	0
2015-07-17 09:22:49.00	0.29	1.860	305.71	29.000	0
2015-07-17 09:22:49.25	0.30	1.870	305.85	29.000	0
2015-07-17 09:22:49.50	0.31	1.870	305.98	29.000	0
2015-07-17 09:22:49.75	0.30	1.870	306.09	29.000	0
2015-07-17 09:22:50.00	0.31	1.860	306.28	29.000	0
2015-07-17 09:22:50.25	0.31	1.870	306.5	29.000	0
2015-07-17 09:22:50.50	0.34	1.870	306.68	29.000	0
2015-07-17 09:22:50.75	0.29	1.870	306.82	29.000	0
2015-07-17 09:22:52.00	0.31	1.860	307.65	29.000	0
2015-07-17 09:22:52.25	0.30	1.870	307.77	29.000	0
2015-07-17 09:22:52.50	0.29	1.870	307.88	29.000	0
2015-07-17 09:22:52.75	0.31	1.870	308.01	29.000	0
2015-07-17 09:22:53.00	0.31	1.860	308.15	29.000	0
2015-07-17 09:22:53.25	0.30	1.870	308.23	29.000	0
2015-07-17 09:22:53.50	0.31	1.870	308.39	29.000	0
2015-07-17 09:22:53.75	0.30	1.870	308.52	29.000	0
2015-07-17 09:22:59.00	0.32	1.860	311.28	28.000	0
2015-07-17 09:22:59.25	0.29	1.860	311.39	28.000	0
2015-07-17 09:22:59.50	0.29	1.860	311.53	28.000	0
2015-07-17 09:22:59.75	0.32	1.860	311.75	28.000	0
2015-07-17 09:23:01.00	0.30	1.850	312.78	28.000	0
2015-07-17 09:23:01.25	0.32	1.860	313.14	28.000	0
2015-07-17 09:23:01.50	0.29	1.860	313.4	28.000	0
2015-07-17 09:23:01.75	0.29	1.860	313.64	28.000	0
2015-07-17 09:23:03.00	0.32	1.850	314.45	28.000	0
2015-07-17 09:23:03.25	0.31	1.860	314.63	28.000	0
2015-07-17 09:23:03.50	0.32	1.860	314.83	28.000	0
2015-07-17 09:23:03.75	0.33	1.860	314.98	28.000	0
2015-07-17 09:23:04.00	0.32	1.850	315.12	28.000	0
2015-07-17 09:23:04.25	0.32	1.860	315.23	28.000	0
2015-07-17 09:23:04.50	0.33	1.860	315.39	28.000	0
2015-07-17 09:23:04.75	0.30	1.860	315.7	28.000	0
